,Test_document,Expected_result,multinomial_model_2,multinomial_model_2_accuracy
146,crowdfund financ financi servic crowdfund financ financi servic startwis crowdfund platform make revenu share invest access everyon startwis make revenu share invest deal access everyon startwis revenu share marketplac everyon regardless incom invest expertis becom investor compani care start 100 model simpl invest 100 deal compani pay fix revenu everi 3 month reach maximum payout rang 110 250 depend deal term empow peopl bank invest made simpl,Others,Others,78.87323943661971
266,auction financi servic franchis small medium busi auction financi servic franchis small medium busi fund wonder busi loan exchang bring togeth investor franchis seek loan sec regist portal fund wonder busi loan exchang offer opportun invest loan franchis busi franchis industri grow faster economi whole collect account 890 billion econom output fund wonder empow investor busi achiev financi goal bring togeth trust sec regist portal interact transact accredit non-accredit investor invest debt secur busi proven franchis model certifi fund wonder return princip interest month payment franchis busi owner turn gain access vital altern sourc capit,Others,Others,78.87323943661971
162,e-commerc servic industri shop e-commerc servic industri shop fenqil web-bas onlin shop mall offer wide rang product fenqil web-bas onlin shop mall offer wide rang product mobil phone person comput camera beauti product base shenzhen guangdong china,Others,Others,78.87323943661971
260,consum lend financi servic consum lend financi servic digit financ platform optim custom experi digit distribut channel manag financi servic provid power venmo ledg simplest way borrow money friend family- automat pay back term choose.you re chariti case re good sometim larg expens come requir littl help ledg make sure never miss beat need littl extra cash,Others,Others,78.87323943661971
310,bankbazaar world 's first neutral onlin marketplac instant customis rate quot loan credit card,Others,Others,78.87323943661971
192,financi servic onlin auction peer peer financi servic onlin auction peer peer firstp2p chines onlin peer-to-p p2p financ site first p2p limit onlin financ marketplac match borrow investor compani base china,Others,Others,78.87323943661971
217,commerci real estat financi servic fintech commerci real estat financi servic fintech commloan??? passion technolog guarante alway match best possibl loan commloantm understand right loan critic bottom line commerci real estat project need loan option need fast hundr differ lender choos commloan bring one-stop shop unpreced access capit market,Others,Others,78.87323943661971
294,asset manag financi servic lend asset manag financi servic lend iqianbang help make money onlin invest financi platform invest financi user loan user iqianbang help make money onlin invest financi platform invest financi user loan user end provid fair transpar safe effici network loan manag servic,Others,Others,78.87323943661971
322,expans capit group valu partner expans capit solut,Others,Others,78.87323943661971
232,financi servic financi servic tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis tempo found 2009 one man employe spent countless hour creat new way peopl take merchandis home simpl approv process credit requir tempo grown home basement oper multi-offic nation provid credit requir shop sever payment option,Others,Others,78.87323943661971
13,financ financ yatto social fund platform enabl user organ social fund circl use facebook account yatto new social fund platform base trust reput social inner circl yatto let organ social fund circl a.k.a yatto use facebook account invit trust friend famili peer dear one everi particip yatto receiv social fund group differ date make his/her dream come true fulfil person caus famili urgenc educ cost healthcar travel comput kid endeavor worldwid caus etc,Others,Others,78.87323943661971
361,financ financi servic person financ financ financi servic person financ trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili trustleaf onlin platform enabl early-stag entrepreneur crowdfund ventur friend famili small busi owner leverag social capit rais capit lender also get legal protect loan famili member??? word trustleaf offer featur auto-gener custom promissori note onlin signatur email remind updat repay quick loan builder trustleaf launch august 2013 anson liang daniel lieser base sunnyval california usa,Others,Others,78.87323943661971
117,"consum financi servic point sale retail consum financi servic point sale retail loanhero provid financ import thing life empow merchant extend instant financ point sale loanhero provid financ import thing life whether it??? medic procedur cover insur new roof we???r cover expens 1,000 innov financ platform empow merchant extend instant financ point sale multipl lender simpl applic consum receiv best loan product regardless credit loanhero fastest grow player retail financ platform partner credit union creat better lend option consum hero join forc loanhero",Others,Others,78.87323943661971
109,financ internet tv product financ internet tv product establish phoenix satellit televis hold provid intellig financi servic chines investor worldwid phoenix financ onlin platform establish phoenix satellit televis hold provid intellig financi servic chines investor worldwid partner industry-lead financi institut gain access high qualiti financi product use proprietari financi model algorithm provid user dynam financi portfolio meet consumpt invest need layer cultur social valu product servic creat uniqu financi experi investor build reliabl trustworthi financi environ help push growth inclus financ,Others,Others,78.87323943661971
43,app big data mobil app big data mobil pier instant painless consum financ checkout us chines consum pier financi technolog compani focus develop technolog solut enabl custom transact mobil phone offer servic unit state china pier offer applic enabl custom access servic pier headquart san francisco offic shanghai china found richard jia juli 2014,Others,Others,78.87323943661971
132,"financ fintech person financ financ fintech person financ peerform peer-to-p lend platform connect lender borrow fixed-r person loan peerform peer-to-p lend platform connect peopl want borrow money investor peerform provid 3-year term person loan rang 1,000 25,000 borrow creat list fixed-r person loan fund investor chose target return build portfolio peerform offer investor new asset class diversifi optim portfolio peer-to-p lend altern bank system provid better interest rate borrow along better return investor elimin intermedi parti peerform creat solid team profession financi servic strategi consult technolog consum product",Others,Others,78.87323943661971
144,develop platform e-commerc financ fintech develop platform e-commerc financ fintech licaifan chines onlin financ platform licaifan chines onlin financ platform offer p2b invest loan financi servic small- medium-s enterpris launch march 2014 compani headquart beij china,Others,Others,78.87323943661971
52,"financi servic internet marketplac financi servic internet marketplac biz2credit hub connect small busi owner lender servic provid seek solut base onlin profil biz2credit www.biz2credit.com connect small busi owner lender servic provid thus empow effect compet big compani enhanc servic product grow enterpris biz2credit match small busi credit solut base onlin profil complet less five minut safe effici price-transpar environ biz2credit network consist 50,000 user 300 lender credit rate agenc equifax broker includ bizbuysel major small busi servic provid hp biz2credit top financ resourc entrepreneur magazin 2009 compani process 3,000 loan applic month facilit 400 million fund sinc 2007 registr free howev biz2credit also offer vari level subscript servic includ phone support case manag assist borrow entir lend process start initi applic form end day loan close biz2credit recent introduc free bizanalyzer??????? app android http //bit.ly/hlmwbl use inform credit rate agenc dun bradstreet bizanalyz provid free financi check-up small busi owner make loan applic process effici enabl borrow download review credit score tool benchmark risk assess small busi owner lend criteria 300 financi institut risk profil industri peer factor credit rate ultim impact credit decis lender biz2credit suggest best loan option possibl",Others,Others,78.87323943661971
255,consum lend credit financ fintech lend person financ consum lend credit financ fintech lend person financ lend club onlin financi communiti bring togeth creditworthi borrow savvi investor lend club onlin financi communiti bring togeth creditworthi borrow savvi investor benefit financi replac high cost complex bank lend faster smarter way borrow invest,Others,Others,78.87323943661971
153,credit card financi servic fintech mobil app credit card financi servic fintech mobil app talli solv problem custom manag multipl credit card talli found 2015 team credit expert engin design believ better credit card experi consum talli first app unbundl credit card put power back hand consum talli consum use credit card without unfair apr cost fee hassl manag multipl card inform visit meettally.com,Others,Others,78.87323943661971
242,financ fintech small medium busi financ fintech small medium busi bluevin allow small busi get paid immedi outstand invoic bluevin allow small busi get paid immedi outstand invoic bluevin compani free cash pay expens grow busi compani back lead ventur capit firm base redwood citi ca,Others,Others,78.87323943661971
113,consum lend financ financi servic fintech person financ consum lend financ financi servic fintech person financ mission help good peopl get better loan sinc launch 2013 loannow help peopl bring access transpar fair subprim lend industri time help borrow understand use credit build repay histori credit file incentiv good borrow behavior mission help good peopl get better loan,Others,Others,78.87323943661971
35,financi servic financi servic kashabl loan better borrow retir plan credit card mani lender take kashabl loan easi painless trip local bank branch storefront fill form mail stay hold repres phone complet entir process onlin within matter minut fund deposit electron bank account,Others,Others,78.87323943661971
224,fit health care well fit health care well letsmd.com marketplac elect surgeri letsmd hope chang way peopl access healthcar india price transpar healthcar price india black hole aim provid avenu prospect patient connect ethic healthcar servic provid offer transpar price found advis peopl decad experi healthcar letsmd aim go destin peopl seek high qualiti healthcar afford price,Others,Others,78.87323943661971
359,financ financ compani special gimmick hidden cost short term loan swift money?? provid quick conveni effeci short term loan ??1000 appli payday loan swift money?? today receiv instant decis averag accept rate 97.5 loan also bad credit friend carri credit check,Others,Others,78.87323943661971
191,e-commerc financ insur marketplac e-commerc financ insur marketplac bankbazaar.com neutral onlin marketplac give instant custom rate quot loan insur product bankbazaar.com world 's first neutral onlin marketplac give instant custom rate quot loan insur product instant search compar appli loan credit card insur product site sinc partner india 's lead financi institut insur firm look one place get great deal bankbazaar.com goal make easi everyon get great deal loan insur product bankbazaar.com easili compar total cost loan offer made get access unbias custom rate financi institut want make easi lot option take well-inform decis choos product appli instant best bankbazaar.com 's servic complet free,Others,Others,78.87323943661971
345,financ financ principi capit provid work capit small busi need help grant base credit score principi capit provid merchant cash advanc deal single-employe servic provid small medium-s busi base new york serv wide rang industri throughout entir unit state canada,Others,Others,78.87323943661971
158,custom servic onlin portal payment custom servic onlin portal payment buy pay later solut india epaylat found decemb 2015 aurko bhattacharya prasannaa murlidharan uday somayajula shanmunathan thiagaraja saxena compani give custom option ???buy pay later??? onlin portal one click custom get 14 day make payment within period make mani transact via single-click checkout bunch togeth make singl payment end period,Others,Others,78.87323943661971
285,financ financi servic fintech financ financi servic fintech pearl capit provid innov altern financi solut underbank unbank busi sector one fastest grow provid altern small busi financ america 2015 acquir capit z partner lead specialti financ privat equiti group invest 3 billion dollar last 25 year vision provid best financ underbank provid iso origin channel best servic effici support integr,Others,Others,78.87323943661971
50,internet softwar internet softwar data driven inventori financ hardwar compani kickpay transform hardwar compani financ inventori leverag client 's data kickpay enabl access financ previous unavail allow grow faster,Others,Others,78.87323943661971
218,busi intellig fintech transact process busi intellig fintech transact process lend product integr busi cash flow transact linkag segment lend product integr busi cash flow transact linkag segment,Others,Others,78.87323943661971
126,financi servic financi servic loanzen help small busi get unsecur work capit loan pend invoic loanzen help small busi get unsecur work capit loan pend invoic,Others,Others,78.87323943661971
118,"e-commerc energi power grid e-commerc energi power grid found 2001 purchas power offer becom one countri 's premier purchas program employe found 2001 purchas power offer becom one countri 's premier purchas program employe atlanta-bas compani tap `` fastest-grow '' list sever lead busi public includ entrepreneur inc. magazin date purchas power servic 400,000 order employe lead compani organ across u.s. fortun 500 govern agenc",Others,Others,78.87323943661971
41,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Others,Others,78.87323943661971
57,consum lend financ financi servic consum lend financ financi servic creditshop offer afford onlin loan simpl payment plan mani borrow find unsecur person loan reason interest rate extrem difficult often borrow forc consid lender charg high interest rate hefti fee request valuabl item collater creditshop consum qualifi interest rate rang 18 30 creditshop custom make month payment time never pay ongo transact fee late fee annual fee prepay fee reason creditshop loan might smart choic cost less mani consum,Others,Others,78.87323943661971
284,financ financi servic fintech financ financi servic fintech west creek financi found help consum obtain financ purchas good west creek financi found help consum obtain financ purchas good servic want time help merchant servic supplier increas sale provid financ today??? tough econom time mani credit-worthi consum find increas hard get approv financ tradit bank financ compani tighten credit requir west creek??? founder deep lend expertis previous made signific credit risk improv largest us financi institut passion ensur custom store enabl get merchandis want,Others,Others,78.87323943661971
226,financi servic fintech mobil payment financi servic fintech mobil payment activehour develop smartphone-bas applic enabl hour worker get paid earli need activehour develop smartphone-bas applic enabl hour worker get paid earli need work android io smartphon recommend hour employe electron timecard system work direct deposit found ram palaniappan 2012 activehour help user avoid overdraft fee high-interest payday loan company??? financi backer includ ribbit capit felici ventur,Others,Others,78.87323943661971
112,"consum lend fintech lend peer peer consum lend fintech lend peer peer weijinsuo peer-to-p lend platform current help shape chines altern financ space base beij china weijinsuo peer-to-p lend platform cover area credit collect assess manag company??? senior manag staff 10 year experi bank manag risk manag industri shape chines altern financ space provid investor averag annual yield around 11.7 36 month lock-up period company??? seri invest round led hna capit group establish 2010 weijinsuo compris 700,000 regist user complet aggreg transact valu 616 million u.s. dollar",Others,Others,78.87323943661971
311,"consum lend fintech lend marketplac consum lend fintech lend marketplac connect busi borrow lender base new york unit state boefli onlin marketplac leverag proprietari technolog transform way commerci transact conduct act onlin exchang connect parti involv transact therebi simplifi loan origin secondari market loan sale borrow build complet decision-readi loan request onlin use ???smartform??? technolog complet provid inform 3,600 lender nationwid match technolog identifi compat lender borrow complet control lender instant access loan request compani found 2008",Others,Others,78.87323943661971
271,financi servic fintech inform technolog financi servic fintech inform technolog paysens fintech startup focus bring innov financi servic indian consum paysens fintech startup focus bring innov financi servic indian consum,Others,Others,78.87323943661971
360,financi servic financi servic trustio newdelhi-bas peer-to-p lend compani trustio person financi secur net trustio tri creat close alumni communiti member rais money alumni time need varieti reason invest money peer help well make decent return invest,Others,Others,78.87323943661971
312,instant approv onlin payday loan servic canada canada-payday-loan fastest grow onlin payday loan firm canada.w complet understand financi need determin serv best.canada-payday-loan offer hassl free onlin payday loan servic charg fees.your loan approv responsibility.open 24 hour,Others,Others,78.87323943661971
289,financi servic financi servic onlin marketplac lend platform fintech compani rubiqu demystifi complex financ process empow individu smes provid easi smooth access financ wide rang credit card loan product therebi make financ simpl built proprietari matchmak algorithm rubiqu 's marketplac lend platform offer breakthrough featur like real time process onlin approv direct integr financi institutions??? system reduc process time signific data analyt perform hundr data point rubiqu 's platform assess creditworthi custom loan origin qualif bring predict give elig offer choos rubiqu offer best world ?? ? marketplac custom get choic elig end end fulfil support like lender found oct 2014 fintech compani rubiqu aim becom largest marketplac financi product individu smes septemb 2015 rubiqu rais seri fund led kalaari capit yournest angel fund globevestor dexter angel circl,Others,Others,78.87323943661971
28,credit crowdfund crowdsourc financ financi servic fintech credit crowdfund crowdsourc financ financi servic fintech raisework oper onlin direct lend platform connect small privat busi institut lender raisework oper onlin direct lend platform connect small busi institut lender look lend direct privat busi improv small busi access capit leverag technolog lower cost custom acquisit loan applic process result dramat acceler application-to-fund cycl institut lender raisework open door opportun invest direct credit-worthi privat busi earn stabl attract return,Others,Others,78.87323943661971
204,financi servic financi servic numberz realis run busi sure commend task numberz realis run busi sure commend task mani time understand manag one critic resourc cash flow becom daunt excercis 's numberz endevour help number liter continu pursu dream,Others,Others,78.87323943661971
10,payment payment lendfriend offer softwar product provid support user loan??? creation propos approv repay lendfriend fintech startup focus undeserv lend market team built 3 product onlin p2p lend platform target friend famili grew 3mm+ loan multipl underwrit model util proprietari data tradit brick mortar high-interest lender identifi custom profil target larger loan lower interest rate loan repay disproport credit score onlin platform match high-risk borrow aggreg network onlin lender place loan prepaid card product 's purpos bank underbank lendfriend part ** angelpad http //angelpad.org 3** 2011,Others,Others,78.87323943661971
