,domain_name,Test_document,Expected_result,knn_model_6,knn_model_6_accuracy
77,puddle.com,advertis e-commerc social media manag advertis e-commerc social media manag puddl social peer-to-p lend marketplac puddl let anyon creat line credit on-the-fli friend puddl first tool credit us anyon use ?? ? base credit score base peopl trust,Others,Others,84.93150684931507
263,money360.com,commerci real estat marketplac real estat commerci real estat marketplac real estat money360 revolutionari onlin marketplac commerci real estat loan money360 revolutionari onlin marketplac commerci real estat loan money360 enabl borrow direct access afford commerci real estat loan innov onlin lend platform elimin overhead process cost associ tradit bank model loan fund bank insur compani pension fund accredit investor revolutionari onlin marketplac enabl borrow obtain competit rate flexibl term effici servic enabl investor receiv better return offer tradit invest vehicl,Others,Others,84.93150684931507
261,ibanonline.com,e-commerc fintech share economi e-commerc fintech share economi iban crowdlend financi compani aim deliv better deal saver borrow iban first global fintech guarante fund lend us allow support social project financi secur iban verg lead huge improv global crowdlend model aim deliv better deal saver borrow care money,Mortgages,Others,84.93150684931507
352,sofi.com,sofi pmv,Education Loans ,Education Loans ,84.93150684931507
293,kabbage.com,credit financ fintech lend credit financ fintech lend kabbag financi technolog compani fulli autom technolog data platform power lend direct partner kabbag inc. financi technolog data compani pioneer new autom way lend money small busi consum compani simplifi manual applic process one 100 onlin autom busi consum use data submit applic onlin receiv immedi decis access fund spot kabbag leverag data generat revenu account data busi transact ship data social media sourc understand business??? overal health calcul credit line throughout custom lifecycl compani began make first loan onlin merchant 2011 extend lend small busi ?? ? onlin brick-and-mortar ?? ? februari 2014 novemb 2013 kabbag expand busi mobil io android app enabl user appli access fund smartphon kabbag 's first expans technolog data platform launch karrot person loan 2014 karrot fulli autom person loan product verifi 100 person??? incom karrot also provid immedi answer access fund soon next day kabbag expand applic platform march 2015 licens data technolog platform power lend organ compani name one forb magazine??? promis compani list second year row kabbag extend lend reach may 2015 announc new kabbag card give busi abil pay item point sale purchas card tie kabbag account kabbag also collabor mastercard may 2015 make kabbage??? data technolog platform avail mastercard??? network acquir august 2015 kabbag name 36th fastest-grow privat compani america inc. 500 list octob 2015 kabbag complet seri e fund round 135 million led rever capit partner holland???s? ing spain???s? santander? via innoventur santand 's ventur capit arm canada???s? scotiabank? also particip round kabbag also announc strateg partnership ing? deliv instant capit small busi throughout spain june 2016 kabbag name cnbc 's annual disruptor 50 list forward-think ambiti compani revolution industri market worldwid two month later kabbag name inc. 500 list countri 's fastest-grow privat compani second year row august 2016 kroll bond rate agenc kbra upgrad affirm rate class a2-2 certif issu kabbag fund 2014-1 resecur trust certif upgrad bbb+ sf a- sf base structur improv transaction??? concentr requir exist histor data relat kabbage??? collater kbra also affirm rate class b2a certif bb- sf class b2b certif bb- sf class b2c certif b+ sf initi rate novemb 2015,Others,Others,84.93150684931507
161,troo.ly,fintech machin learn risk manag saa share economi fintech machin learn risk manag saa share economi trooli deliv instant trust??? servic verifi screen predict trustworthi relationship interact fintech p2p trooli deliv instant trust??? servic verifi screen predict trustworthi relationship interact work world??? largest financi institut peer-to-p marketplac market employ instant trust rate servic design fill ???trust gap??? caus speed modern commerc communiti requir instant evalu potenti reward risk ?? ? without trust-build interact histori feedback loop peopl use evalu relationship offlin machin learn technolog synthes digit footprint real time provid rich insight ?? ? well beyond old-school background check credit score risk manag tool instant trust rate requir minim custom data input cost less 1 per queri rate support evid return rough 30 second trooly??? predict power demonstr least twice effect background check credit check databas profil determin trustworthi individu busi trooli oper consum report agenc use public permiss inform onlin offlin sourc respect compli applic privaci data protect law includ fair credit report act unit state also dedic balanc transpar respect individu privaci,Credit rating platforms,Credit rating platforms,84.93150684931507
98,factortrust.com,credit financ financi servic credit financ financi servic altern credit bureau base atlanta factortrust altern credit bureau help lender manag credit lifecycl underbank consum use uniqu altern credit inform avail big three bureaus enabl offer non-prim consum credit deserv leverag company??? credit inform lender accur predict futur borrow behavior credit perform risk score grow segment factortrust??? team predict analyt specialist statistician financi industri expert deliv uniqu data valuabl insight lender throughout u.s. u.k. near ten year,Credit rating platforms,Credit rating platforms,84.93150684931507
329,microenergycredits.com,financi servic micro lend financi servic micro lend microenergi credit social enterpris provid consum develop countri clean energi product microenergi credit social enterpris provid consum develop countri clean energi product help microfin institut start clean energi lend program strengthen cloud-bas technolog last-mil servic scale carbon financ company??? product includ heat cook stove solar led light product solar home system water purif system clean household packag includ solar light effici stove water filter exact product specif packag vari local depend market research custom feedback given locat packag design local afford enough consum pay back microloan within 8 month microenergi credit co-found jame dailey https //www.crunchbase.com/person/james-dailey-2 april allderdic https //www.crunchbase.com/person/april-allderdic 2007 base seattl washington,Mortgages,Mortgages,84.93150684931507
91,avant.com,consum lend financ financi servic fintech lend consum lend financ financi servic fintech lend chang way borrow safer faster better financi product avant oper onlin marketplac provid user access person loan consolid debt pay unexpect medic expens famili vacat use big data machine-learn algorithm compani offer custom approach streamlin credit option compani cater consum unit state unit kingdom headquart chicago illinoi avant found novemb 2012,Others,Others,84.93150684931507
198,liftforward.com,"credit financi servic marketplac credit financi servic marketplac liftforward oper marketplac loan platform provid loan small busi liftforward oper marketplac loan platform provid loan small busi high yield debt product investor busi abl borrow 1,000,000 per transact asset purchas purchas order financ work capit liftforward partner supplier retail manufactur order provid financ small busi custom liftforward partnership includ co-brand white-label portal",Others,Others,84.93150684931507
