,Test_document,Expected_result,decision_model_7,decision_model_7_accuracy
29,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Others,Others,40.54054054054054
365,crowdfund financ financi servic crowdfund financ financi servic crowdfund loan back peopl believ wefin let borrow creat loan list describ borrow need word help market list potenti lender save includ regular peopl network pledg take minut handl transact direct addit work rememb repay borrow save money lender get good return low risk side feel great help peopl network save money,Personal loans,Lead generation platform,40.54054054054054
63,"educ financ financi servic educ financ financi servic platform refin medic school student loan help borrow reduc burden student loan debt fintech marketplac lender provid platform refin medic school student loan help borrow reduc burden student loan debt simpli put acquir lead convert loan sell loan investor communiti bank struggl generat organ loan volum partner lead student loan origin servic compani provid back-end platform support also contract feder chart bank act lender record allow us lend 50 state product save borrow averag 22,000 allow defer loan payment train program also simplifi live consolid mani loan one new loan",Others,Others,40.54054054054054
70,e-commerc marketplac real estat e-commerc marketplac real estat assetavenu onlin lender real estat invest properti assetavenu los angeles-bas onlin lender use technolog improv way peopl borrow money real estat invest properti innov onlin platform proprietari data model enabl us deliv new benchmark speed transpar flexibl tradit bank ca n't compet fund loan institut capit matter day assetavenu back world 's lead vc firm includ dcm ventur matrix partner neteas capit name one top 10 lend start-up watch 2014 featur numer public includ wall street journal entrepreneur inc forb,Term loans,Term loans,40.54054054054054
288,financ fintech lend financ fintech lend lendup social respons lender 56 american shut mainstream bank due low credit volatil incom lendup??? mission provid anyon path better financi health build technolog credit product educ experi 56 us popul shut mainstream bank poor credit volatil incom technolog built in-hous current offer sever type credit product includ loan credit card emb educ product avail credit build opportun help borrow improv long-term financi health break vicious debt cycl found two step-broth ceo sasha orloff cto jake rosenberg sasha put ???fin??? fintech work citi world bank grameen bank jake put ???tech??? fintech platform cto zynga 29 began work yahoo age 16 employe 80,Personal loans,Others,40.54054054054054
320,financ financi servic financ financi servic enova provid reliabl real-tim financi option peopl face immedi cash demand enova provid reliabl real-tim financi option everyday hardwork peopl face immedi cash demand global financi resourc under-serv consum oper portfolio busi offer varieti onlin credit product servic one million custom unit state unit kingdom australia canada,Personal loans,Personal loans,40.54054054054054
312,instant approv onlin payday loan servic canada canada-payday-loan fastest grow onlin payday loan firm canada.w complet understand financi need determin serv best.canada-payday-loan offer hassl free onlin payday loan servic charg fees.your loan approv responsibility.open 24 hour,Personal loans,Lead generation platform,40.54054054054054
42,big data financi servic fintech big data financi servic fintech financ futur educ financ student attend top acceler learn program,Others,Others,40.54054054054054
262,lend marketplac peer peer lend marketplac peer peer i-lend india 's first social lend initi bring togeth borrow lender facilit financi transact onlin marketplac bring togeth creditworthi borrow individu lender person loan transact without intervent tradit financi institut like bank borrow appli small loan rs.25k rs.1l 6 month 12 month period interest rate vari 18 24 much lower financi institut lender higher return compar save account fds,Personal loans,Personal loans,40.54054054054054
300,financi servic lend financi servic lend popul invoic trade financ platform built use latest blockchain technolog popul invoic trade financ platform built use latest blockchain technolog popul use xbrl z score formula smart contract stabl token creat uniqu trade environ investor invoic seller around world read popul believ creat next generat fnancial marketplac,Working Capital ,Working Capital ,40.54054054054054
